gender,age,L,M,S
1,36,-1.0915,96.4961,0.0403
1,37,-1.0011,97.0464,0.0403
1,38,-0.9126,97.5965,0.0402
1,39,-0.8262,98.1463,0.0402
1,40,-0.7418,98.6959,0.0402
1,41,-0.6592,99.2452,0.0402
1,42,-0.5827,99.793,0.0401
1,43,-0.5077,100.3406,0.0401
1,44,-0.4343,100.8881,0.0401
1,45,-0.3625,101.4353,0.0401
1,46,-0.2921,101.9824,0.0401
1,47,-0.2232,102.5294,0.04
1,48,-0.1597,103.0749,0.04
1,49,-0.0975,103.6204,0.04
1,50,-0.0364,104.1657,0.04
1,51,0.0234,104.7109,0.0399
1,52,0.0822,105.256,0.0399
1,53,0.1398,105.8009,0.0399
1,54,0.1897,106.344,0.0399
1,55,0.2387,106.8869,0.0399
1,56,0.2868,107.4298,0.0398
1,57,0.3341,107.9726,0.0398
1,58,0.3805,108.5153,0.0398
1,59,0.4261,109.0579,0.0398
1,60,0.4242,109.5896,0.0398
1,61,0.4223,110.1212,0.0399
1,62,0.4205,110.6529,0.0399
1,63,0.4187,111.1846,0.0399
1,64,0.4169,111.7162,0.04
1,65,0.4151,112.2479,0.04
1,66,0.3787,112.7735,0.04
1,67,0.3429,113.299,0.0401
1,68,0.3074,113.8245,0.0401
1,69,0.2724,114.3501,0.0402
1,70,0.2378,114.8756,0.0402
1,71,0.2036,115.401,0.0403
1,72,0.1783,115.9183,0.0403
1,73,0.1533,116.4356,0.0404
1,74,0.1287,116.9528,0.0404
1,75,0.1044,117.4701,0.0405
1,76,0.0805,117.9874,0.0405
1,77,0.0569,118.5047,0.0406
1,78,0.0563,119.0136,0.0406
1,79,0.0557,119.5225,0.0406
1,80,0.0552,120.0314,0.0406
1,81,0.0546,120.5404,0.0406
1,82,0.0541,121.0493,0.0406
1,83,0.0536,121.5582,0.0406
1,84,0.0492,122.0537,0.0406
1,85,0.0448,122.5492,0.0406
1,86,0.0405,123.0447,0.0406
1,87,0.0363,123.5402,0.0406
1,88,0.0321,124.0357,0.0406
1,89,0.028,124.5313,0.0406
1,90,0.0397,125.0114,0.0406
1,91,0.0514,125.4914,0.0405
1,92,0.0628,125.9715,0.0405
1,93,0.0741,126.4515,0.0405
1,94,0.0853,126.9316,0.0405
1,95,0.0964,127.4116,0.0405
1,96,0.1205,127.8793,0.0405
1,97,0.1443,128.3469,0.0404
1,98,0.1679,128.8145,0.0404
1,99,0.1912,129.2821,0.0404
1,100,0.2142,129.7497,0.0404
1,101,0.237,130.2172,0.0404
1,102,0.2339,130.6754,0.0404
1,103,0.2308,131.1336,0.0404
1,104,0.2278,131.5919,0.0404
1,105,0.2248,132.0501,0.0404
1,106,0.2218,132.5084,0.0404
1,107,0.2188,132.9666,0.0404
1,108,0.1885,133.4136,0.0405
1,109,0.1585,133.8606,0.0406
1,110,0.1288,134.3076,0.0406
1,111,0.0994,134.7545,0.0407
1,112,0.0704,135.2014,0.0408
1,113,0.0416,135.6482,0.0409
1,114,0.021,136.1026,0.041
1,115,0.0008,136.5569,0.0411
1,116,-0.0191,137.0113,0.0412
1,117,-0.0386,137.4656,0.0414
1,118,-0.0579,137.9199,0.0415
1,119,-0.0768,138.3742,0.0416
1,120,-0.0752,138.8473,0.0417
1,121,-0.0736,139.3205,0.0419
1,122,-0.072,139.7936,0.042
1,123,-0.0705,140.2667,0.0422
1,124,-0.0689,140.7398,0.0423
1,125,-0.0674,141.213,0.0424
1,126,-0.0489,141.7059,0.0426
1,127,-0.0308,142.1987,0.0428
1,128,-0.0131,142.6916,0.043
1,129,0.0041,143.1844,0.0432
1,130,0.0209,143.6773,0.0434
1,131,0.0373,144.1701,0.0436
1,132,0.0886,144.701,0.0438
1,133,0.1383,145.2319,0.0441
1,134,0.1864,145.7627,0.0443
1,135,0.2331,146.2935,0.0445
1,136,0.2784,146.8242,0.0448
1,137,0.3223,147.3549,0.045
1,138,0.4064,147.9321,0.0453
1,139,0.4882,148.5094,0.0455
1,140,0.5676,149.0866,0.0457
1,141,0.6448,149.6638,0.0459
1,142,0.7199,150.2409,0.0462
1,143,0.7929,150.818,0.0464
1,144,0.8928,151.4223,0.0465
1,145,0.991,152.0268,0.0466
1,146,1.0877,152.6312,0.0467
1,147,1.1829,153.2358,0.0468
1,148,1.2764,153.8404,0.0469
1,149,1.3684,154.445,0.047
1,150,1.458,155.0459,0.0469
1,151,1.5475,155.6468,0.0469
1,152,1.637,156.2477,0.0468
1,153,1.7263,156.8487,0.0467
1,154,1.8155,157.4497,0.0466
1,155,1.9045,158.0507,0.0465
1,156,2.0111,158.6245,0.0463
1,157,2.1194,159.1984,0.046
1,158,2.2294,159.7724,0.0457
1,159,2.341,160.3465,0.0454
1,160,2.4544,160.9207,0.0452
1,161,2.5694,161.4949,0.0449
1,162,2.6754,162.0038,0.0445
1,163,2.7844,162.5128,0.044
1,164,2.8966,163.0218,0.0436
1,165,3.0121,163.5308,0.0431
1,166,3.1309,164.0398,0.0427
1,167,3.2531,164.5488,0.0423
1,168,3.3119,164.965,0.0417
1,169,3.3725,165.3813,0.0412
1,170,3.4351,165.7975,0.0407
1,171,3.4998,166.2138,0.0402
1,172,3.5666,166.6301,0.0397
1,173,3.6357,167.0464,0.0392
1,174,3.6315,167.3647,0.0388
1,175,3.6262,167.6831,0.0384
1,176,3.6198,168.0013,0.0379
1,177,3.6121,168.3195,0.0375
1,178,3.6031,168.6377,0.037
1,179,3.5927,168.9558,0.0366
1,180,3.5208,169.1812,0.0363
1,181,3.4457,169.4066,0.036
1,182,3.3672,169.6319,0.0357
1,183,3.2853,169.8571,0.0353
1,184,3.1997,170.0824,0.035
1,185,3.1104,170.3076,0.0347
1,186,2.9809,170.4684,0.0345
1,187,2.8483,170.6294,0.0342
1,188,2.7127,170.7906,0.034
1,189,2.574,170.952,0.0338
1,190,2.4321,171.1137,0.0335
1,191,2.2872,171.2756,0.0333
1,192,2.154,171.3949,0.0332
1,193,2.0196,171.5145,0.033
1,194,1.8841,171.6344,0.0328
1,195,1.7474,171.7546,0.0327
1,196,1.6096,171.8752,0.0325
1,197,1.4707,171.996,0.0324
1,198,1.3966,172.0897,0.0323
1,199,1.3226,172.1836,0.0323
1,200,1.2488,172.2775,0.0322
1,201,1.1751,172.3716,0.0322
1,202,1.1016,172.4658,0.0321
1,203,1.0282,172.56,0.0321
1,204,0.9751,172.6404,0.0321
1,205,0.9218,172.7207,0.0321
1,206,0.8685,172.8009,0.0321
1,207,0.815,172.8812,0.0321
1,208,0.7614,172.9614,0.0321
1,209,0.7077,173.0416,0.0321
1,210,0.6595,173.1222,0.0321
1,211,0.611,173.2027,0.0321
1,212,0.5623,173.2832,0.0321
1,213,0.5134,173.3636,0.032
1,214,0.4642,173.444,0.032
1,215,0.4148,173.5244,0.032
1,216,0.3638,173.6037,0.032
1,217,0.3126,173.683,0.032
1,218,0.2611,173.7622,0.032
1,219,0.2094,173.8413,0.032
1,220,0.1573,173.9204,0.032
1,221,0.105,173.9995,0.032
1,222,0.0449,174.0764,0.032
1,223,-0.0155,174.1532,0.032
1,224,-0.0764,174.23,0.032
1,225,-0.1377,174.3067,0.0319
1,226,-0.1994,174.3833,0.0319
1,227,-0.2615,174.4598,0.0319
0,36,0.5472,95.4078,0.0413
0,37,0.4997,95.9472,0.0412
0,38,0.4525,96.4867,0.0411
0,39,0.4056,97.0262,0.041
0,40,0.359,97.5658,0.0409
0,41,0.3126,98.1054,0.0408
0,42,0.2825,98.6465,0.0407
0,43,0.2526,99.1877,0.0406
0,44,0.2229,99.7288,0.0405
0,45,0.1934,100.27,0.0404
0,46,0.164,100.8113,0.0403
0,47,0.1348,101.3525,0.0402
0,48,0.1129,101.8943,0.0401
0,49,0.0912,102.4361,0.04
0,50,0.0695,102.9779,0.0399
0,51,0.048,103.5197,0.0398
0,52,0.0267,104.0616,0.0397
0,53,0.0054,104.6034,0.0396
0,54,-0.0216,105.1425,0.0395
0,55,-0.0484,105.6816,0.0395
0,56,-0.0751,106.2208,0.0394
0,57,-0.1016,106.76,0.0393
0,58,-0.128,107.2992,0.0392
0,59,-0.1543,107.8384,0.0391
0,60,-0.1404,108.3714,0.039
0,61,-0.1266,108.9045,0.039
0,62,-0.113,109.4375,0.0389
0,63,-0.0994,109.9706,0.0389
0,64,-0.086,110.5036,0.0388
0,65,-0.0726,111.0366,0.0388
0,66,-0.0272,111.5656,0.0388
0,67,0.0175,112.0946,0.0388
0,68,0.0614,112.6235,0.0388
0,69,0.1047,113.1523,0.0388
0,70,0.1472,113.6811,0.0388
0,71,0.1891,114.2098,0.0388
0,72,0.2115,114.7289,0.0388
0,73,0.2335,115.2479,0.0388
0,74,0.255,115.767,0.0389
0,75,0.2762,116.286,0.0389
0,76,0.297,116.805,0.039
0,77,0.3174,117.324,0.039
0,78,0.2769,117.8257,0.0391
0,79,0.2373,118.3274,0.0391
0,80,0.1986,118.8292,0.0392
0,81,0.1606,119.331,0.0393
0,82,0.1235,119.8329,0.0394
0,83,0.0872,120.3348,0.0394
0,84,0.0163,120.8229,0.0396
0,85,-0.0528,121.311,0.0397
0,86,-0.1201,121.7993,0.0398
0,87,-0.1857,122.2876,0.0399
0,88,-0.2496,122.7761,0.04
0,89,-0.3119,123.2646,0.0401
0,90,-0.3571,123.7505,0.0402
0,91,-0.4012,124.2364,0.0404
0,92,-0.4442,124.7224,0.0405
0,93,-0.4862,125.2084,0.0406
0,94,-0.5271,125.6944,0.0407
0,95,-0.567,126.1805,0.0408
0,96,-0.5993,126.6703,0.041
0,97,-0.6308,127.1601,0.0411
0,98,-0.6616,127.65,0.0412
0,99,-0.6918,128.1399,0.0413
0,100,-0.7213,128.6297,0.0414
0,101,-0.7502,129.1197,0.0415
0,102,-0.779,129.6197,0.0416
0,103,-0.807,130.1199,0.0417
0,104,-0.8342,130.62,0.0418
0,105,-0.8608,131.1202,0.042
0,106,-0.8868,131.6204,0.0421
0,107,-0.9121,132.1207,0.0422
0,108,-0.8812,132.6442,0.0423
0,109,-0.851,133.1677,0.0425
0,110,-0.8214,133.6912,0.0426
0,111,-0.7924,134.2147,0.0428
0,112,-0.764,134.7382,0.0429
0,113,-0.7362,135.2617,0.043
0,114,-0.6545,135.8116,0.0432
0,115,-0.574,136.3617,0.0433
0,116,-0.4946,136.9119,0.0434
0,117,-0.4162,137.4622,0.0435
0,118,-0.3389,138.0126,0.0436
0,119,-0.2627,138.5631,0.0438
0,120,-0.1573,139.1218,0.0438
0,121,-0.0528,139.6805,0.0439
0,122,0.0509,140.2395,0.0439
0,123,0.1538,140.7986,0.044
0,124,0.2558,141.3578,0.044
0,125,0.3569,141.9172,0.0441
0,126,0.4653,142.4689,0.044
0,127,0.5738,143.0207,0.044
0,128,0.6821,143.5726,0.0439
0,129,0.7904,144.1246,0.0438
0,130,0.8986,144.6765,0.0438
0,131,1.0066,145.2285,0.0437
0,132,1.1242,145.7568,0.0435
0,133,1.2433,146.2852,0.0433
0,134,1.3638,146.8136,0.0431
0,135,1.4857,147.3421,0.0429
0,136,1.609,147.8706,0.0427
0,137,1.7336,148.399,0.0425
0,138,1.8239,148.8746,0.0421
0,139,1.9161,149.3501,0.0418
0,140,2.0103,149.8256,0.0415
0,141,2.1065,150.3011,0.0412
0,142,2.2047,150.7766,0.0409
0,143,2.3049,151.2521,0.0406
0,144,2.3447,151.6571,0.0402
0,145,2.3855,152.0621,0.0399
0,146,2.4272,152.4672,0.0395
0,147,2.4699,152.8722,0.0392
0,148,2.5136,153.2772,0.0388
0,149,2.5584,153.6821,0.0385
0,150,2.5648,154.0138,0.0382
0,151,2.5712,154.3455,0.0378
0,152,2.5775,154.6772,0.0375
0,153,2.5837,155.0089,0.0372
0,154,2.5899,155.3405,0.0368
0,155,2.5959,155.6722,0.0365
0,156,2.5607,155.9198,0.0362
0,157,2.5239,156.1672,0.036
0,158,2.4856,156.4146,0.0357
0,159,2.4458,156.6619,0.0355
0,160,2.4042,156.9091,0.0352
0,161,2.3609,157.1562,0.035
0,162,2.3149,157.3292,0.0348
0,163,2.2677,157.5021,0.0346
0,164,2.2195,157.675,0.0345
0,165,2.1701,157.8478,0.0343
0,166,2.1196,158.0205,0.0342
0,167,2.0679,158.1932,0.034
0,168,2.0549,158.3159,0.0339
0,169,2.0417,158.4387,0.0338
0,170,2.0284,158.5614,0.0337
0,171,2.015,158.6842,0.0336
0,172,2.0014,158.8069,0.0335
0,173,1.9877,158.9297,0.0335
0,174,1.967,159.0139,0.0334
0,175,1.9462,159.0981,0.0333
0,176,1.9254,159.1823,0.0332
0,177,1.9045,159.2666,0.0332
0,178,1.8835,159.3508,0.0331
0,179,1.8625,159.4351,0.033
0,180,1.79,159.4917,0.033
0,181,1.7178,159.5483,0.033
0,182,1.6457,159.6051,0.0329
0,183,1.5739,159.6619,0.0329
0,184,1.5022,159.7189,0.0328
0,185,1.4308,159.776,0.0328
0,186,1.3515,159.8149,0.0328
0,187,1.2721,159.8539,0.0327
0,188,1.1928,159.893,0.0327
0,189,1.1134,159.9321,0.0326
0,190,1.034,159.9714,0.0326
0,191,0.9547,160.0107,0.0325
0,192,0.8678,160.0286,0.0325
0,193,0.7803,160.0465,0.0324
0,194,0.6921,160.0644,0.0323
0,195,0.6032,160.0823,0.0322
0,196,0.5137,160.1002,0.0322
0,197,0.4236,160.1182,0.0321
0,198,0.332,160.1342,0.032
0,199,0.2396,160.1502,0.032
0,200,0.1464,160.1661,0.0319
0,201,0.0522,160.1821,0.0318
0,202,-0.0428,160.198,0.0317
0,203,-0.1387,160.214,0.0317
0,204,-0.164,160.2483,0.0316
0,205,-0.1896,160.2827,0.0316
0,206,-0.2154,160.317,0.0315
0,207,-0.2414,160.3514,0.0315
0,208,-0.2675,160.3857,0.0314
0,209,-0.294,160.42,0.0314
0,210,-0.311,160.4524,0.0313
0,211,-0.3282,160.4847,0.0313
0,212,-0.3456,160.5171,0.0313
0,213,-0.3631,160.5494,0.0312
0,214,-0.3808,160.5817,0.0312
0,215,-0.3985,160.614,0.0311
0,216,-0.4107,160.6484,0.0311
0,217,-0.4229,160.6827,0.031
0,218,-0.4352,160.7171,0.031
0,219,-0.4476,160.7514,0.031
0,220,-0.4601,160.7857,0.0309
0,221,-0.4727,160.82,0.0309
0,222,-0.4804,160.8591,0.0309
0,223,-0.4881,160.8981,0.0308
0,224,-0.4959,160.9372,0.0308
0,225,-0.5037,160.9762,0.0307
0,226,-0.5116,161.0153,0.0307
0,227,-0.5195,161.0543,0.0307
